Event.Id,Investigation.Type,Accident.Number,Event.Date,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Event.Year,Make.Model,Commercial,Fatal
20001212X20487,Accident,FTW00FA083B,2000-02-16,United States,Fatal(1),Substantial,Airplane,Cessna,208B,No,Unknown,1.0,,,1.0,VMC,2000,Cessna 208B,No,1
20001212X20487,Accident,FTW00FA083A,2000-02-16,United States,Fatal(1),Destroyed,Airplane,Cessna,182M,No,Personal,1.0,,,1.0,VMC,2000,Cessna 182M,No,1
20001212X20472,Accident,DCA00MA026,2000-02-16,United States,Fatal(3),Destroyed,Airplane,Mcdonnell douglas,DC-8-71F,No,,3.0,,,,VMC,2000,Mcdonnell douglas DC-8-71F,No,1
20001212X20606,Accident,DCA00MA030,2000-03-05,United States,Non-Fatal,Destroyed,Airplane,Boeing,737-300,No,Unknown,,2.0,42.0,98.0,VMC,2000,Boeing 737-300,Yes,0
20001212X20873,Accident,MIA00FA129,2000-04-05,United States,Fatal(3),Destroyed,Airplane,Learjet,35A,No,Instructional,3.0,,,,VMC,2000,Learjet 35A,No,1
20001212X20797,Incident,DEN00IA080,2000-04-30,United States,Incident,,Airplane,British aerospace,BAE 146-200,No,,,,,20.0,IMC,2000,British aerospace BAE 146-200,No,0
20001212X21079,Accident,MIA00LA169,2000-05-20,United States,Non-Fatal,,Airplane,Boeing,737-500,No,Unknown,,1.0,,123.0,IMC,2000,Boeing 737-500,Yes,0
20001212X21674,Accident,CHI00LA247,2000-08-08,United States,Non-Fatal,Substantial,Airplane,Schweizer,G-164B,No,Aerial Application,,,,1.0,VMC,2000,Schweizer G-164B,No,0
20020201X00156,Accident,CHI00LA312,2000-09-14,United States,Non-Fatal,Substantial,Airplane,Cessna,208B,No,,,,,1.0,VMC,2000,Cessna 208B,No,0
20030930X01615,Accident,IAD01LA110,2000-11-26,United States,Non-Fatal,,Airplane,Boeing,767,No,,,2.0,,,,2000,Boeing 767,Yes,0
20010216X00462,Accident,NYC01LA076,2000-12-27,United States,Non-Fatal,,Airplane,Boeing,767-300ER,No,,,1.0,,79.0,VMC,2000,Boeing 767-300ER,Yes,0
20010116X00306,Accident,MIA01LA059,2001-01-07,United States,Non-Fatal,Substantial,Airplane,Cessna,182A,No,Skydiving,,,,1.0,VMC,2001,Cessna 182A,No,0
20010119X00328,Accident,ATL01FA021,2001-01-14,United States,Non-Fatal,Destroyed,Airplane,Learjet,LJ-60,No,Executive/corporate,,2.0,,,VMC,2001,Learjet LJ-60,No,0
20010206X00396,Accident,ATL01FA027,2001-01-24,United States,Fatal(4),Destroyed,Airplane,Beech,F90-42,No,Business,4.0,,,,VMC,2001,Beech F90-42,No,1
20010226X00510,Accident,NYC01LA075A,2001-02-03,United States,Non-Fatal,Substantial,Airplane,Boeing,B-737-832,No,,,,,135.0,VMC,2001,Boeing B-737-832,Yes,0
20010226X00510,Accident,NYC01LA075B,2001-02-03,United States,Non-Fatal,Minor,Airplane,Mcdonnell douglas,MD-81,No,,,,,135.0,VMC,2001,Mcdonnell douglas MD-81,No,0
20010213X00442,Accident,DEN01LA050,2001-02-06,United States,Non-Fatal,Substantial,Airplane,Dassault,MYSTERE FALCON 900,No,Executive/corporate,,,,8.0,IMC,2001,Dassault MYSTERE FALCON 900,No,0
20020124X00121,Incident,DCA01WA027,2001-03-05,United States,Incident,Minor,Airplane,Lockheed,L1011,,,,,,2.0,,2001,Lockheed L1011,No,0
20010316X00591,Accident,CHI01LA101,2001-03-09,United States,Non-Fatal,Substantial,Airplane,Cessna,P206,No,Skydiving,,,,1.0,VMC,2001,Cessna P206,No,0
20010328X00662,Accident,LAX01LA126,2001-03-16,United States,Non-Fatal,Substantial,Airplane,Cessna,182E,No,Skydiving,,,1.0,,VMC,2001,Cessna 182E,No,0
20010405X00697,Accident,ATL01LA044,2001-03-30,United States,Non-Fatal,Substantial,Airplane,Piper,PA-24,No,Personal,,,2.0,,VMC,2001,Piper PA-24,No,0
20010404X00692,Accident,FTW01LA091,2001-03-31,United States,Non-Fatal,Substantial,Airplane,Dehavilland,DHC-3,No,Skydiving,,5.0,13.0,4.0,VMC,2001,Dehavilland DHC-3,No,0
20010417X00765,Accident,MIA01FA117,2001-04-09,United States,Fatal(2),Destroyed,Airplane,Piper,PA-46-500TP,No,Personal,2.0,,,,VMC,2001,Piper PA-46-500TP,No,1
20010601X01046,Accident,FTW01LA132,2001-05-27,United States,Fatal(1),Minor,Airplane,Dehavilland,DHC-6 TWIN OTTER,No,Skydiving,1.0,,,22.0,VMC,2001,Dehavilland DHC-6 TWIN OTTER,No,1
20081006X73142,Accident,LAX01FA308,2001-06-03,United States,Fatal(1),Substantial,Airplane,Piper,PA-28-181,No,Personal,1.0,0.0,0.0,0.0,VMC,2001,Piper PA-28-181,No,1
20010712X01402,Accident,NYC01FA158,2001-07-02,United States,Fatal(1),Destroyed,Airplane,Moravan,ZLIN 526F,No,Personal,1.0,1.0,,,VMC,2001,Moravan ZLIN 526F,No,1
20010706X01313,Accident,CHI01LA193,2001-07-04,United States,Non-Fatal,Substantial,Airplane,Cessna,182,No,Skydiving,,,,1.0,VMC,2001,Cessna 182,No,0
20010713X01417,Accident,NYC01LA170,2001-07-12,United States,Non-Fatal,Substantial,Airplane,Taylorcraft,F21B,No,Instructional,,,,2.0,VMC,2001,Taylorcraft F21B,No,0
20010801X01576,Accident,MIA01LA197,2001-07-28,United States,Non-Fatal,Substantial,Airplane,Cessna,182B,No,Skydiving,,,,1.0,VMC,2001,Cessna 182B,No,0
20010823X01761,Accident,IAD01FA097,2001-08-14,United States,Fatal(2),Substantial,Airplane,Cessna,150,No,Instructional,2.0,,,,VMC,2001,Cessna 150,No,1
20010830X01835,Accident,FTW01LA200,2001-08-18,United States,Non-Fatal,Substantial,Airplane,Cessna,182A,No,Skydiving,,,,5.0,VMC,2001,Cessna 182A,No,0
20020123X00104,Accident,DCA01MA063,2001-09-11,United States,Fatal(65),Destroyed,Airplane,Boeing,767-200ER,No,,65.0,,,,,2001,Boeing 767-200ER,Yes,1
20011001X02018,Accident,IAD01LA107,2001-09-25,United States,Non-Fatal,Substantial,Airplane,Piper,PA-32RT-300T,No,Personal,,1.0,,,VMC,2001,Piper PA-32RT-300T,No,0
20011019X02116,Accident,FTW02LA009,2001-10-06,United States,Non-Fatal,Substantial,Airplane,Cessna,182A,No,Skydiving,,,1.0,1.0,VMC,2001,Cessna 182A,No,0
20011119X02259,Accident,FTW02FA036,2001-11-12,United States,Fatal(4),Destroyed,Airplane,Piper,PA-31T1,No,Executive/corporate,4.0,,,,IMC,2001,Piper PA-31T1,No,1
20020110X00057,Accident,IAD02FA024,2001-12-30,United States,Fatal(1),Substantial,Airplane,Piper,PA-28R-180,No,Personal,1.0,,,,VMC,2001,Piper PA-28R-180,No,1
20020114X00067,Accident,NYC02LA047,2002-01-08,United States,Non-Fatal,Substantial,Airplane,Swearingen,SA-227-AT,No,,,,1.0,,VMC,2002,Swearingen SA-227-AT,No,0
20020114X00065,Accident,FTW02LA066,2002-01-10,United States,Non-Fatal,Substantial,Airplane,Piper,PA-46T,No,Personal,,,,2.0,IMC,2002,Piper PA-46T,No,0
20020123X00101,Accident,FTW02LA067,2002-01-15,United States,Non-Fatal,Substantial,Airplane,Cessna,172,No,Personal,,,,1.0,VMC,2002,Cessna 172,No,0
20020125X00135,Accident,CHI02LA069,2002-01-24,United States,Non-Fatal,,Airplane,Mcdonnell douglas,DC-9-41,No,,,1.0,,74.0,VMC,2002,Mcdonnell douglas DC-9-41,No,0
20020220X00238,Accident,DEN02LA025,2002-02-17,United States,Non-Fatal,Substantial,Airplane,Cessna,172N,No,Instructional,,,,1.0,VMC,2002,Cessna 172N,No,0
20020404X00467,Accident,FTW02LA109,2002-03-24,United States,Non-Fatal,Substantial,Airplane,Cessna,188,No,Aerial Application,,,,1.0,VMC,2002,Cessna 188,No,0
20020415X00514,Accident,IAD02LA040,2002-04-03,United States,Non-Fatal,Substantial,Airplane,Cessna,T310R,No,Personal,,1.0,1.0,,VMC,2002,Cessna T310R,No,0
20020422X00562,Accident,FTW02LA121,2002-04-13,United States,Non-Fatal,Substantial,Airplane,Cessna,182A,No,Skydiving,,1.0,,4.0,VMC,2002,Cessna 182A,No,0
20020607X00829,Accident,FTW02LA168,2002-05-31,United States,Non-Fatal,Substantial,Airplane,Ercoupe,ERCO-415-E,No,Personal,,,,2.0,VMC,2002,Ercoupe ERCO-415-E,No,0
20020604X00801,Accident,CHI02LA147,2002-06-02,United States,Non-Fatal,Substantial,Airplane,Waco,ASO,No,Personal,,,,2.0,VMC,2002,Waco ASO,No,0
20020621X00955,Accident,CHI02LA170,2002-06-16,United States,Non-Fatal,Substantial,Airplane,Mcdonnell douglas,DC-9-82,No,,,,,123.0,VMC,2002,Mcdonnell douglas DC-9-82,No,0
20020719X01174,Accident,CHI02CA196,2002-06-30,United States,Non-Fatal,Substantial,Airplane,Grenier,ACRO SPORT,No,Personal,,,,1.0,VMC,2002,Grenier ACRO SPORT,No,0
20020716X01137,Accident,CHI02CA182,2002-07-04,United States,Non-Fatal,Substantial,Airplane,Beech,A-23-23,No,Personal,,,,1.0,VMC,2002,Beech A-23-23,No,0
20020715X01130,Accident,CHI02CA184,2002-07-07,United States,Non-Fatal,Substantial,Airplane,Piper,PA-34,No,Personal,,,,1.0,VMC,2002,Piper PA-34,No,0
20020828X01473,Accident,CHI02CA250,2002-07-09,United States,Non-Fatal,Substantial,Airplane,Piper,PA-J3-C65,No,Instructional,,,,2.0,VMC,2002,Piper PA-J3-C65,No,0
20020717X01146,Accident,FTW02CA207,2002-07-13,United States,Non-Fatal,Substantial,Airplane,Gulfstream american,AA-5B,No,Personal,,,,1.0,VMC,2002,Gulfstream american AA-5B,No,0
20020716X01142,Accident,FTW02CA206,2002-07-13,United States,Non-Fatal,Substantial,Airplane,Aero commander,CALLAIR A-9B,No,Other Work Use,,1.0,,,VMC,2002,Aero commander CALLAIR A-9B,No,0
20020716X01141,Accident,CHI02CA191,2002-07-13,United States,Non-Fatal,Substantial,Airplane,Cessna,150H,No,Personal,,,,2.0,VMC,2002,Cessna 150H,No,0
20020717X01155,Accident,CHI02CA192,2002-07-16,United States,Non-Fatal,Substantial,Airplane,Cessna,188B,No,Aerial Application,,,,1.0,VMC,2002,Cessna 188B,No,0
20020719X01172,Accident,CHI02CA194,2002-07-17,United States,Non-Fatal,Substantial,Airplane,Grumman,G-164,No,Aerial Application,,,,1.0,VMC,2002,Grumman G-164,No,0
20020726X01232,Accident,CHI02CA211,2002-07-18,United States,Non-Fatal,Substantial,Airplane,Cessna,172N,No,Instructional,,,,1.0,VMC,2002,Cessna 172N,No,0
20020731X01275,Accident,CHI02CA214,2002-07-20,United States,Non-Fatal,Substantial,Airplane,Cessna,182A,No,Personal,,,,3.0,VMC,2002,Cessna 182A,No,0
20020801X01283,Accident,CHI02CA224,2002-07-26,United States,Non-Fatal,Substantial,Airplane,Air tractor,AT-301,No,Aerial Application,,,1.0,,VMC,2002,Air tractor AT-301,No,0
20020816X01414,Accident,NYC02FA152,2002-08-01,United States,Fatal(4),Destroyed,Airplane,Grumman,AA-5B,No,Personal,4.0,,,,VMC,2002,Grumman AA-5B,No,1
20020828X01471,Accident,CHI02CA248,2002-08-14,United States,Non-Fatal,Substantial,Airplane,Piper,PA-25-235,No,Aerial Application,,,,1.0,VMC,2002,Piper PA-25-235,No,0
20020828X01475,Accident,CHI02CA253,2002-08-17,United States,Non-Fatal,Substantial,Airplane,Bellanca,BL-17-30A,No,Personal,,,,1.0,VMC,2002,Bellanca BL-17-30A,No,0
20020910X01576,Accident,ANC02FA107,2002-08-27,United States,Fatal(2),Substantial,Airplane,Cessna,A185F,No,,2.0,2.0,,,VMC,2002,Cessna A185F,No,1
20020916X01608,Accident,NYC02FA178,2002-09-02,United States,Fatal(7),Destroyed,Airplane,Beechcraft,58P,No,Personal,7.0,,,,VMC,2002,Beechcraft 58P,No,1
20020906X01543,Accident,FTW02CA249,2002-09-04,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,No,Instructional,,,,1.0,VMC,2002,Piper PA-28-161,No,0
20020925X05215,Accident,CHI02CA279,2002-09-06,United States,Non-Fatal,,Airplane,Cessna,120,No,Personal,,1.0,,1.0,VMC,2002,Cessna 120,No,0
20020917X04182,Accident,CHI02LA281,2002-09-15,United States,Non-Fatal,Substantial,Airplane,Ercoupe,415-CD,No,Positioning,,,,2.0,VMC,2002,Ercoupe 415-CD,No,0
20021018X05339,Accident,CHI02CA287,2002-09-17,United States,Non-Fatal,Substantial,Airplane,Cessna,150G,No,Personal,,,,1.0,VMC,2002,Cessna 150G,No,0
